TrialType,Lag,Image,T1PA,T2PA,PicFolder,Picture,FullPathName,FilePath,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text.started,text.stopped,End_Instructions.keys,End_Instructions.rt,End_Instructions.started,End_Instructions.stopped,MemTest.started,MemTest.stopped,MemResponse.keys,MemResponse.rt,MemResponse.started,MemResponse.stopped,Display.started,Display.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,8.216518799992627,None,space,0.664365499993437,8.216518799992627,None,,,,,,,,,t,001,2022-06-21_17h31.49.805,MemoryStudy,2022.1.4,59.96929572415742,
Mem,99,stapler03a.jpg,Z,Z,JPG\,stapler03a,C:\\Users\\Psychology\\Documents\\ABExperiment\\MemoryStudy\\resources\\JPG\\stapler03a.jpg,C:\\Users\\Psychology\\Documents\\ABExperiment\\MemoryStudy\\resources\\JPG\\,0,0,0,244,,,,,,,9.199648299996625,None,1,0.5927375000028405,9.199648299996625,None,9.199648299996625,None,t,001,2022-06-21_17h31.49.805,MemoryStudy,2022.1.4,59.96929572415742,
Mem,99,helmet.jpg,Z,Z,JPG\,helmet,C:\\Users\\Psychology\\Documents\\ABExperiment\\MemoryStudy\\resources\\JPG\\helmet.jpg,C:\\Users\\Psychology\\Documents\\ABExperiment\\MemoryStudy\\resources\\JPG\\,0,1,1,501,,,,,,,9.9169125000044,None,1,0.6924080000026152,9.9169125000044,None,9.9169125000044,None,t,001,2022-06-21_17h31.49.805,MemoryStudy,2022.1.4,59.96929572415742,
