TrialType,Lag,Image,T1PA,T2PA,PicFolder,Picture,FullPathName,FilePath,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text.started,text.stopped,End_Instructions.keys,End_Instructions.rt,End_Instructions.started,End_Instructions.stopped,MemTest.started,MemTest.stopped,MemResponse.keys,MemResponse.rt,MemResponse.started,MemResponse.stopped,Display.started,Display.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,8.149474800011376,None,space,0.4507677999936277,8.149474800011376,None,,,,,,,,,t,001,2022-06-21_17h03.33.435,MemoryStudy,2022.1.4,59.90674915730179,
Mem,99,bicycle.jpg,Z,Z,JPG\,bicycle,C:\\Users\\Psychology\\Documents\\ABExperiment\\MemoryStudy\\resources\\JPG\\bicycle.jpg,C:\\Users\\Psychology\\Documents\\ABExperiment\\MemoryStudy\\resources\\JPG\\,0,0,0,443,,,,,,,8.917178700008662,None,1,0.6587844000023324,8.917178700008662,None,8.917178700008662,None,t,001,2022-06-21_17h03.33.435,MemoryStudy,2022.1.4,59.90674915730179,
Mem,5,eyepatch.jpg,P,P,JPG\,eyepatch,C:\\Users\\Psychology\\Documents\\ABExperiment\\MemoryStudy\\resources\\JPG\\eyepatch.jpg,C:\\Users\\Psychology\\Documents\\ABExperiment\\MemoryStudy\\resources\\JPG\\,0,1,1,155,,,,,,,9.668467000010423,None,1,0.3076707999862265,9.668467000010423,None,9.668467000010423,None,t,001,2022-06-21_17h03.33.435,MemoryStudy,2022.1.4,59.90674915730179,
Mem,1,beerbottle.jpg,P,P,JPG\,beerbottle,C:\\Users\\Psychology\\Documents\\ABExperiment\\MemoryStudy\\resources\\JPG\\beerbottle.jpg,C:\\Users\\Psychology\\Documents\\ABExperiment\\MemoryStudy\\resources\\JPG\\,0,2,2,97,,,,,,,10.000967200001469,None,1,0.351036899999599,10.000967200001469,None,10.000967200001469,None,t,001,2022-06-21_17h03.33.435,MemoryStudy,2022.1.4,59.90674915730179,
Mem,1,swing.jpg,P,P,JPG\,swing,C:\\Users\\Psychology\\Documents\\ABExperiment\\MemoryStudy\\resources\\JPG\\swing.jpg,C:\\Users\\Psychology\\Documents\\ABExperiment\\MemoryStudy\\resources\\JPG\\,0,3,3,30,,,,,,,10.378351200008183,None,1,0.3657600999868009,10.378351200008183,None,10.378351200008183,None,t,001,2022-06-21_17h03.33.435,MemoryStudy,2022.1.4,59.90674915730179,
Mem,5,hockeypuck.jpg,P,P,JPG\,hockeypuck,C:\\Users\\Psychology\\Documents\\ABExperiment\\MemoryStudy\\resources\\JPG\\hockeypuck.jpg,C:\\Users\\Psychology\\Documents\\ABExperiment\\MemoryStudy\\resources\\JPG\\,0,4,4,157,,,,,,,10.76818140000978,None,1,0.39287189999595284,10.76818140000978,None,10.76818140000978,None,t,001,2022-06-21_17h03.33.435,MemoryStudy,2022.1.4,59.90674915730179,
Mem,99,wheel04.jpg,Z,Z,JPG\,wheel04,C:\\Users\\Psychology\\Documents\\ABExperiment\\MemoryStudy\\resources\\JPG\\wheel04.jpg,C:\\Users\\Psychology\\Documents\\ABExperiment\\MemoryStudy\\resources\\JPG\\,0,5,5,410,,,,,,,11.311786200007191,None,1,0.3454335999849718,11.311786200007191,None,11.311786200007191,None,t,001,2022-06-21_17h03.33.435,MemoryStudy,2022.1.4,59.90674915730179,
Mem,5,hibiscusflower02.jpg,P,P,JPG\,hibiscusflower02,C:\\Users\\Psychology\\Documents\\ABExperiment\\MemoryStudy\\resources\\JPG\\hibiscusflower02.jpg,C:\\Users\\Psychology\\Documents\\ABExperiment\\MemoryStudy\\resources\\JPG\\,0,6,6,179,,,,,,,11.78084820001095,None,1,0.3950386000069557,11.78084820001095,None,11.78084820001095,None,t,001,2022-06-21_17h03.33.435,MemoryStudy,2022.1.4,59.90674915730179,
Mem,99,brownsugar.jpg,Z,Z,JPG\,brownsugar,C:\\Users\\Psychology\\Documents\\ABExperiment\\MemoryStudy\\resources\\JPG\\brownsugar.jpg,C:\\Users\\Psychology\\Documents\\ABExperiment\\MemoryStudy\\resources\\JPG\\,0,7,7,276,,,,,,,12.209575900007621,None,1,0.4387812000059057,12.209575900007621,None,12.209575900007621,None,t,001,2022-06-21_17h03.33.435,MemoryStudy,2022.1.4,59.90674915730179,
Mem,5,cruiseship.jpg,P,P,JPG\,cruiseship,C:\\Users\\Psychology\\Documents\\ABExperiment\\MemoryStudy\\resources\\JPG\\cruiseship.jpg,C:\\Users\\Psychology\\Documents\\ABExperiment\\MemoryStudy\\resources\\JPG\\,0,8,8,152,,,,,,,12.686054100006004,None,1,0.4421054999984335,12.686054100006004,None,12.686054100006004,None,t,001,2022-06-21_17h03.33.435,MemoryStudy,2022.1.4,59.90674915730179,
