TrialType,Lag,Image,T1PA,T2PA,PicFolder,Picture,FullPathName,FilePath,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text.started,text.stopped,End_Instructions.keys,End_Instructions.rt,End_Instructions.started,End_Instructions.stopped,MemTest.started,MemTest.stopped,MemResponse.keys,MemResponse.rt,MemResponse.started,MemResponse.stopped,Display.started,Display.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,56.848110399994766,None,space,0.703720899997279,56.848110399994766,None,,,,,,,,,t,001,2022-06-21_17h15.02.433,MemoryStudy,2022.1.4,60.073662326166044,
Mem,99,airvent.jpg,Z,Z,JPG\,airvent,C:\\Users\\Psychology\\Documents\\ABExperiment\\MemoryStudy\\resources\\JPG\\airvent.jpg,C:\\Users\\Psychology\\Documents\\ABExperiment\\MemoryStudy\\resources\\JPG\\,0,0,0,411,,,,,,,57.887739099998726,None,1,1.071788799992646,57.887739099998726,None,57.887739099998726,None,t,001,2022-06-21_17h15.02.433,MemoryStudy,2022.1.4,60.073662326166044,
Mem,99,lighter02a.jpg,Z,Z,JPG\,lighter02a,C:\\Users\\Psychology\\Documents\\ABExperiment\\MemoryStudy\\resources\\JPG\\lighter02a.jpg,C:\\Users\\Psychology\\Documents\\ABExperiment\\MemoryStudy\\resources\\JPG\\,0,1,1,415,,,,,,,59.092750399999204,None,1,0.29862380000122357,59.092750399999204,None,59.092750399999204,None,t,001,2022-06-21_17h15.02.433,MemoryStudy,2022.1.4,60.073662326166044,
Mem,99,hen.jpg,Z,Z,JPG\,hen,C:\\Users\\Psychology\\Documents\\ABExperiment\\MemoryStudy\\resources\\JPG\\hen.jpg,C:\\Users\\Psychology\\Documents\\ABExperiment\\MemoryStudy\\resources\\JPG\\,0,2,2,428,,,,,,,59.5170955999929,None,1,0.29849339999782387,59.5170955999929,None,59.5170955999929,None,t,001,2022-06-21_17h15.02.433,MemoryStudy,2022.1.4,60.073662326166044,
Mem,1,hulahoop.jpg,P,P,JPG\,hulahoop,C:\\Users\\Psychology\\Documents\\ABExperiment\\MemoryStudy\\resources\\JPG\\hulahoop.jpg,C:\\Users\\Psychology\\Documents\\ABExperiment\\MemoryStudy\\resources\\JPG\\,0,3,3,64,,,,,,,59.89541939999617,None,1,0.33574189999490045,59.89541939999617,None,59.89541939999617,None,t,001,2022-06-21_17h15.02.433,MemoryStudy,2022.1.4,60.073662326166044,
Mem,99,windturbine.jpg,Z,Z,JPG\,windturbine,C:\\Users\\Psychology\\Documents\\ABExperiment\\MemoryStudy\\resources\\JPG\\windturbine.jpg,C:\\Users\\Psychology\\Documents\\ABExperiment\\MemoryStudy\\resources\\JPG\\,0,4,4,463,,,,,,,60.35961590000079,None,1,0.3353571999905398,60.35961590000079,None,60.35961590000079,None,t,001,2022-06-21_17h15.02.433,MemoryStudy,2022.1.4,60.073662326166044,
Mem,1,kite.jpg,P,P,JPG\,kite,C:\\Users\\Psychology\\Documents\\ABExperiment\\MemoryStudy\\resources\\JPG\\kite.jpg,C:\\Users\\Psychology\\Documents\\ABExperiment\\MemoryStudy\\resources\\JPG\\,0,5,5,17,,,,,,,60.72390070000256,None,1,0.3955627999966964,60.72390070000256,None,60.72390070000256,None,t,001,2022-06-21_17h15.02.433,MemoryStudy,2022.1.4,60.073662326166044,
Mem,99,printer02.jpg,Z,Z,JPG\,printer02,C:\\Users\\Psychology\\Documents\\ABExperiment\\MemoryStudy\\resources\\JPG\\printer02.jpg,C:\\Users\\Psychology\\Documents\\ABExperiment\\MemoryStudy\\resources\\JPG\\,0,6,6,241,,,,,,,61.24596790000214,None,1,0.3297980999923311,61.24596790000214,None,61.24596790000214,None,t,001,2022-06-21_17h15.02.433,MemoryStudy,2022.1.4,60.073662326166044,
Mem,99,curlingiron01a.jpg,Z,Z,JPG\,curlingiron01a,C:\\Users\\Psychology\\Documents\\ABExperiment\\MemoryStudy\\resources\\JPG\\curlingiron01a.jpg,C:\\Users\\Psychology\\Documents\\ABExperiment\\MemoryStudy\\resources\\JPG\\,0,7,7,425,,,,,,,61.721350599997095,None,1,0.3100939999858383,61.721350599997095,None,61.721350599997095,None,t,001,2022-06-21_17h15.02.433,MemoryStudy,2022.1.4,60.073662326166044,
Mem,1,curtain.jpg,P,P,JPG\,curtain,C:\\Users\\Psychology\\Documents\\ABExperiment\\MemoryStudy\\resources\\JPG\\curtain.jpg,C:\\Users\\Psychology\\Documents\\ABExperiment\\MemoryStudy\\resources\\JPG\\,0,8,8,130,,,,,,,62.058323499994,None,1,0.4213402000023052,62.058323499994,None,62.058323499994,None,t,001,2022-06-21_17h15.02.433,MemoryStudy,2022.1.4,60.073662326166044,
