TrialType,Lag,Image,T1PA,T2PA,PicFolder,Picture,FullPathName,FilePath,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text.started,text.stopped,End_Instructions.keys,End_Instructions.rt,End_Instructions.started,End_Instructions.stopped,MemTest.started,MemTest.stopped,MemResponse.keys,MemResponse.rt,MemResponse.started,MemResponse.stopped,Display.started,Display.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,52.42552350000187,None,space,0.5915983999875607,52.42552350000187,None,,,,,,,,,t,001,2022-06-21_16h56.00.717,MemoryStudy,2022.1.4,59.98321669561133,
Mem,1,bridge.jpg,P,P,JPG\,bridge,C:\\Users\\Psychology\\Documents\\ABExperiment\\MemoryStudy\\resources\\JPG\\bridge.jpg,C:\\Users\\Psychology\\Documents\\ABExperiment\\MemoryStudy\\resources\\JPG\\,0,0,0,78,,,,,,,53.25288329999603,None,1,0.7801588000002084,53.25288329999603,None,53.25288329999603,None,t,001,2022-06-21_16h56.00.717,MemoryStudy,2022.1.4,59.98321669561133,
Mem,99,angelstatue.jpg,Z,Z,JPG\,angelstatue,C:\\Users\\Psychology\\Documents\\ABExperiment\\MemoryStudy\\resources\\JPG\\angelstatue.jpg,C:\\Users\\Psychology\\Documents\\ABExperiment\\MemoryStudy\\resources\\JPG\\,0,1,1,465,,,,,,,54.17750520000118,None,1,0.36722159999771975,54.17750520000118,None,54.17750520000118,None,t,001,2022-06-21_16h56.00.717,MemoryStudy,2022.1.4,59.98321669561133,
