TrialType,Lag,Image,T1PA,T2PA,PicFolder,Picture,FullPathName,FilePath,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text.started,text.stopped,End_Instructions.keys,End_Instructions.rt,End_Instructions.started,End_Instructions.stopped,MemTest.started,MemTest.stopped,MemResponse.keys,MemResponse.rt,MemResponse.started,MemResponse.stopped,Display.started,Display.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,53.378738600004,None,space,3.0018148999952246,53.378738600004,None,,,,,,,,,t,001,2022-06-21_16h19.55.895,MemoryStudy,2022.1.4,59.92577593557017,
Mem,99,bassguitar.jpg,Z,Z,JPG\,bassguitar,C:\\Users\\Psychology\\Documents\\ABExperiment\\MemoryStudy\\resources\\JPG\\bassguitar.jpg,C:\\Users\\Psychology\\Documents\\ABExperiment\\MemoryStudy\\resources\\JPG\\,0,0,0,414,,,,,,,56.680398600001354,None,1,0.8126963999966392,56.680398600001354,None,56.680398600001354,None,t,001,2022-06-21_16h19.55.895,MemoryStudy,2022.1.4,59.92577593557017,
Mem,99,button01.jpg,Z,Z,JPG\,button01,C:\\Users\\Psychology\\Documents\\ABExperiment\\MemoryStudy\\resources\\JPG\\button01.jpg,C:\\Users\\Psychology\\Documents\\ABExperiment\\MemoryStudy\\resources\\JPG\\,0,1,1,231,,,,,,,57.635283399999025,None,1,0.5459676000027684,57.635283399999025,None,57.635283399999025,None,t,001,2022-06-21_16h19.55.895,MemoryStudy,2022.1.4,59.92577593557017,
