TrialType,Lag,Image,T1PA,T2PA,PicFolder,Picture,FullPathName,FilePath,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text.started,text.stopped,End_Instructions.keys,End_Instructions.rt,End_Instructions.started,End_Instructions.stopped,MemTest.started,MemTest.stopped,MemResponse.keys,MemResponse.rt,MemResponse.started,MemResponse.stopped,Display.started,Display.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,10.296258800008218,None,space,0.5082682999927783,10.296258800008218,None,,,,,,,,,t,001,2022-06-21_16h23.31.487,MemoryStudy,2022.1.4,59.91802016487162,
Mem,99,canoepaddle02.jpg,Z,Z,JPG\,canoepaddle02,C:\\Users\\Psychology\\Documents\\ABExperiment\\MemoryStudy\\resources\\JPG\\canoepaddle02.jpg,C:\\Users\\Psychology\\Documents\\ABExperiment\\MemoryStudy\\resources\\JPG\\,0,0,0,314,,,,,,,11.102792000005138,None,1,0.8770721000037156,11.102792000005138,None,11.102792000005138,None,t,001,2022-06-21_16h23.31.487,MemoryStudy,2022.1.4,59.91802016487162,
Mem,1,daddylonglegs.jpg,P,P,JPG\,daddylonglegs,C:\\Users\\Psychology\\Documents\\ABExperiment\\MemoryStudy\\resources\\JPG\\daddylonglegs.jpg,C:\\Users\\Psychology\\Documents\\ABExperiment\\MemoryStudy\\resources\\JPG\\,0,1,1,131,,,,,,,12.074267900010454,None,1,0.6901295999996364,12.074267900010454,None,12.074267900010454,None,t,001,2022-06-21_16h23.31.487,MemoryStudy,2022.1.4,59.91802016487162,
Mem,99,envelope03a.jpg,Z,Z,JPG\,envelope03a,C:\\Users\\Psychology\\Documents\\ABExperiment\\MemoryStudy\\resources\\JPG\\envelope03a.jpg,C:\\Users\\Psychology\\Documents\\ABExperiment\\MemoryStudy\\resources\\JPG\\,0,2,2,278,,,,,,,12.901237600002787,None,1,0.6225236999889603,12.901237600002787,None,12.901237600002787,None,t,001,2022-06-21_16h23.31.487,MemoryStudy,2022.1.4,59.91802016487162,
Mem,5,church.jpg,P,P,JPG\,church,C:\\Users\\Psychology\\Documents\\ABExperiment\\MemoryStudy\\resources\\JPG\\church.jpg,C:\\Users\\Psychology\\Documents\\ABExperiment\\MemoryStudy\\resources\\JPG\\,0,3,3,176,,,,,,,13.559210999999777,None,1,0.6772944999975152,13.559210999999777,None,13.559210999999777,None,t,001,2022-06-21_16h23.31.487,MemoryStudy,2022.1.4,59.91802016487162,
Mem,1,spiderweb.jpg,P,P,JPG\,spiderweb,C:\\Users\\Psychology\\Documents\\ABExperiment\\MemoryStudy\\resources\\JPG\\spiderweb.jpg,C:\\Users\\Psychology\\Documents\\ABExperiment\\MemoryStudy\\resources\\JPG\\,0,4,4,72,,,,,,,14.254588800002239,None,1,0.7339306000067154,14.254588800002239,None,14.254588800002239,None,t,001,2022-06-21_16h23.31.487,MemoryStudy,2022.1.4,59.91802016487162,
Mem,99,goldnugget.jpg,Z,Z,JPG\,goldnugget,C:\\Users\\Psychology\\Documents\\ABExperiment\\MemoryStudy\\resources\\JPG\\goldnugget.jpg,C:\\Users\\Psychology\\Documents\\ABExperiment\\MemoryStudy\\resources\\JPG\\,0,5,5,560,,,,,,,15.120388100011041,None,1,0.6522000999975717,15.120388100011041,None,15.120388100011041,None,t,001,2022-06-21_16h23.31.487,MemoryStudy,2022.1.4,59.91802016487162,
Mem,5,safe.jpg,P,P,JPG\,safe,C:\\Users\\Psychology\\Documents\\ABExperiment\\MemoryStudy\\resources\\JPG\\safe.jpg,C:\\Users\\Psychology\\Documents\\ABExperiment\\MemoryStudy\\resources\\JPG\\,0,6,6,206,,,,,,,15.792620500011253,None,1,0.6916598999960115,15.792620500011253,None,15.792620500011253,None,t,001,2022-06-21_16h23.31.487,MemoryStudy,2022.1.4,59.91802016487162,
