TrialType,Lag,Image,T1PA,T2PA,PicFolder,Picture,FullPathName,FilePath,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text.started,text.stopped,End_Instructions.keys,End_Instructions.rt,End_Instructions.started,End_Instructions.stopped,MemTest.started,MemTest.stopped,MemResponse.keys,MemResponse.rt,MemResponse.started,MemResponse.stopped,Display.started,Display.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,59.343740800002706,None,space,1.2275681999890367,59.343740800002706,None,,,,,,,,,t,001,2022-06-21_16h36.22.922,MemoryStudy,2022.1.4,59.9630387806793,
Mem,99,candydispenser.jpg,Z,Z,JPG\,candydispenser,C:\\Users\\Psychology\\Documents\\ABExperiment\\MemoryStudy\\resources\\JPG\\candydispenser.jpg,C:\\Users\\Psychology\\Documents\\ABExperiment\\MemoryStudy\\resources\\JPG\\,0,0,0,528,,,,,,,60.86228950000077,None,1,1.189341199991759,60.86228950000077,None,60.86228950000077,None,t,001,2022-06-21_16h36.22.922,MemoryStudy,2022.1.4,59.9630387806793,
Mem,99,sunflowerseeds.jpg,Z,Z,JPG\,sunflowerseeds,C:\\Users\\Psychology\\Documents\\ABExperiment\\MemoryStudy\\resources\\JPG\\sunflowerseeds.jpg,C:\\Users\\Psychology\\Documents\\ABExperiment\\MemoryStudy\\resources\\JPG\\,0,1,1,408,,,,,,,62.16433509999479,None,1,0.4633315999963088,62.16433509999479,None,62.16433509999479,None,t,001,2022-06-21_16h36.22.922,MemoryStudy,2022.1.4,59.9630387806793,
Mem,99,paintbrush01.jpg,Z,Z,JPG\,paintbrush01,C:\\Users\\Psychology\\Documents\\ABExperiment\\MemoryStudy\\resources\\JPG\\paintbrush01.jpg,C:\\Users\\Psychology\\Documents\\ABExperiment\\MemoryStudy\\resources\\JPG\\,0,2,2,220,,,,,,,62.75627729999542,None,1,0.4386159999994561,62.75627729999542,None,62.75627729999542,None,t,001,2022-06-21_16h36.22.922,MemoryStudy,2022.1.4,59.9630387806793,
Mem,1,daddylonglegs.jpg,P,P,JPG\,daddylonglegs,C:\\Users\\Psychology\\Documents\\ABExperiment\\MemoryStudy\\resources\\JPG\\daddylonglegs.jpg,C:\\Users\\Psychology\\Documents\\ABExperiment\\MemoryStudy\\resources\\JPG\\,0,3,3,131,,,,,,,63.28610599999956,None,1,0.509153699997114,63.28610599999956,None,63.28610599999956,None,t,001,2022-06-21_16h36.22.922,MemoryStudy,2022.1.4,59.9630387806793,
Mem,1,spiderweb.jpg,P,P,JPG\,spiderweb,C:\\Users\\Psychology\\Documents\\ABExperiment\\MemoryStudy\\resources\\JPG\\spiderweb.jpg,C:\\Users\\Psychology\\Documents\\ABExperiment\\MemoryStudy\\resources\\JPG\\,0,4,4,72,,,,,,,63.820738299997174,None,1,0.5989521000010427,63.820738299997174,None,63.820738299997174,None,t,001,2022-06-21_16h36.22.922,MemoryStudy,2022.1.4,59.9630387806793,
Mem,99,coffeemaker.jpg,Z,Z,JPG\,coffeemaker,C:\\Users\\Psychology\\Documents\\ABExperiment\\MemoryStudy\\resources\\JPG\\coffeemaker.jpg,C:\\Users\\Psychology\\Documents\\ABExperiment\\MemoryStudy\\resources\\JPG\\,0,5,5,264,,,,,,,64.4414839999954,None,1,0.5141624999960186,64.4414839999954,None,64.4414839999954,None,t,001,2022-06-21_16h36.22.922,MemoryStudy,2022.1.4,59.9630387806793,
Mem,5,baseballbat.jpg,P,P,JPG\,baseballbat,C:\\Users\\Psychology\\Documents\\ABExperiment\\MemoryStudy\\resources\\JPG\\baseballbat.jpg,C:\\Users\\Psychology\\Documents\\ABExperiment\\MemoryStudy\\resources\\JPG\\,0,6,6,170,,,,,,,64.98939119999704,None,1,0.5018460999999661,64.98939119999704,None,64.98939119999704,None,t,001,2022-06-21_16h36.22.922,MemoryStudy,2022.1.4,59.9630387806793,
Mem,99,trailerhitchball.jpg,Z,Z,JPG\,trailerhitchball,C:\\Users\\Psychology\\Documents\\ABExperiment\\MemoryStudy\\resources\\JPG\\trailerhitchball.jpg,C:\\Users\\Psychology\\Documents\\ABExperiment\\MemoryStudy\\resources\\JPG\\,0,7,7,345,,,,,,,65.63711919999332,None,1,0.5027114999975311,65.63711919999332,None,65.63711919999332,None,t,001,2022-06-21_16h36.22.922,MemoryStudy,2022.1.4,59.9630387806793,
Mem,99,pineapple01a.jpg,Z,Z,JPG\,pineapple01a,C:\\Users\\Psychology\\Documents\\ABExperiment\\MemoryStudy\\resources\\JPG\\pineapple01a.jpg,C:\\Users\\Psychology\\Documents\\ABExperiment\\MemoryStudy\\resources\\JPG\\,0,8,8,216,,,,,,,66.27172710000013,None,1,0.46703149999666493,66.27172710000013,None,66.27172710000013,None,t,001,2022-06-21_16h36.22.922,MemoryStudy,2022.1.4,59.9630387806793,
Mem,5,honeybee.jpg,P,P,JPG\,honeybee,C:\\Users\\Psychology\\Documents\\ABExperiment\\MemoryStudy\\resources\\JPG\\honeybee.jpg,C:\\Users\\Psychology\\Documents\\ABExperiment\\MemoryStudy\\resources\\JPG\\,0,9,9,196,,,,,,,66.76508080000349,None,1,0.5346227999980329,66.76508080000349,None,66.76508080000349,None,t,001,2022-06-21_16h36.22.922,MemoryStudy,2022.1.4,59.9630387806793,
Mem,99,penne.jpg,Z,Z,JPG\,penne,C:\\Users\\Psychology\\Documents\\ABExperiment\\MemoryStudy\\resources\\JPG\\penne.jpg,C:\\Users\\Psychology\\Documents\\ABExperiment\\MemoryStudy\\resources\\JPG\\,0,10,10,506,,,,,,,67.41374580000411,None,1,0.4536709999956656,67.41374580000411,None,67.41374580000411,None,t,001,2022-06-21_16h36.22.922,MemoryStudy,2022.1.4,59.9630387806793,
Mem,1,guitarcase.jpg,P,P,JPG\,guitarcase,C:\\Users\\Psychology\\Documents\\ABExperiment\\MemoryStudy\\resources\\JPG\\guitarcase.jpg,C:\\Users\\Psychology\\Documents\\ABExperiment\\MemoryStudy\\resources\\JPG\\,0,11,11,14,,,,,,,67.89187819999643,None,1,0.5759334999893326,67.89187819999643,None,67.89187819999643,None,t,001,2022-06-21_16h36.22.922,MemoryStudy,2022.1.4,59.9630387806793,
Mem,99,outdoorchair.jpg,Z,Z,JPG\,outdoorchair,C:\\Users\\Psychology\\Documents\\ABExperiment\\MemoryStudy\\resources\\JPG\\outdoorchair.jpg,C:\\Users\\Psychology\\Documents\\ABExperiment\\MemoryStudy\\resources\\JPG\\,0,12,12,434,,,,,,,68.61738159999368,None,1,0.4278467999974964,68.61738159999368,None,68.61738159999368,None,t,001,2022-06-21_16h36.22.922,MemoryStudy,2022.1.4,59.9630387806793,
Mem,5,lily.jpg,P,P,JPG\,lily,C:\\Users\\Psychology\\Documents\\ABExperiment\\MemoryStudy\\resources\\JPG\\lily.jpg,C:\\Users\\Psychology\\Documents\\ABExperiment\\MemoryStudy\\resources\\JPG\\,0,13,13,181,,,,,,,69.08172079999349,None,1,0.5292323999892687,69.08172079999349,None,69.08172079999349,None,t,001,2022-06-21_16h36.22.922,MemoryStudy,2022.1.4,59.9630387806793,
Mem,99,harpoon.jpg,Z,Z,JPG\,harpoon,C:\\Users\\Psychology\\Documents\\ABExperiment\\MemoryStudy\\resources\\JPG\\harpoon.jpg,C:\\Users\\Psychology\\Documents\\ABExperiment\\MemoryStudy\\resources\\JPG\\,0,14,14,286,,,,,,,69.73658100000466,None,1,0.42673150000337046,69.73658100000466,None,69.73658100000466,None,t,001,2022-06-21_16h36.22.922,MemoryStudy,2022.1.4,59.9630387806793,
Mem,1,barrel01.jpg,P,P,JPG\,barrel01,C:\\Users\\Psychology\\Documents\\ABExperiment\\MemoryStudy\\resources\\JPG\\barrel01.jpg,C:\\Users\\Psychology\\Documents\\ABExperiment\\MemoryStudy\\resources\\JPG\\,0,15,15,124,,,,,,,70.1962962999969,None,1,0.48684319999301806,70.1962962999969,None,70.1962962999969,None,t,001,2022-06-21_16h36.22.922,MemoryStudy,2022.1.4,59.9630387806793,
Mem,99,avocado01.jpg,Z,Z,JPG\,avocado01,C:\\Users\\Psychology\\Documents\\ABExperiment\\MemoryStudy\\resources\\JPG\\avocado01.jpg,C:\\Users\\Psychology\\Documents\\ABExperiment\\MemoryStudy\\resources\\JPG\\,0,16,16,256,,,,,,,70.80820159999712,None,1,0.41141549999883864,70.80820159999712,None,70.80820159999712,None,t,001,2022-06-21_16h36.22.922,MemoryStudy,2022.1.4,59.9630387806793,
Mem,99,snowshovel.jpg,Z,Z,JPG\,snowshovel,C:\\Users\\Psychology\\Documents\\ABExperiment\\MemoryStudy\\resources\\JPG\\snowshovel.jpg,C:\\Users\\Psychology\\Documents\\ABExperiment\\MemoryStudy\\resources\\JPG\\,0,17,17,328,,,,,,,71.25586419999308,None,1,0.5152565000025788,71.25586419999308,None,71.25586419999308,None,t,001,2022-06-21_16h36.22.922,MemoryStudy,2022.1.4,59.9630387806793,
Mem,5,saxophone.jpg,P,P,JPG\,saxophone,C:\\Users\\Psychology\\Documents\\ABExperiment\\MemoryStudy\\resources\\JPG\\saxophone.jpg,C:\\Users\\Psychology\\Documents\\ABExperiment\\MemoryStudy\\resources\\JPG\\,0,18,18,164,,,,,,,71.79827020000084,None,1,0.4531325999996625,71.79827020000084,None,71.79827020000084,None,t,001,2022-06-21_16h36.22.922,MemoryStudy,2022.1.4,59.9630387806793,
Mem,99,rowboat.jpg,Z,Z,JPG\,rowboat,C:\\Users\\Psychology\\Documents\\ABExperiment\\MemoryStudy\\resources\\JPG\\rowboat.jpg,C:\\Users\\Psychology\\Documents\\ABExperiment\\MemoryStudy\\resources\\JPG\\,0,19,19,439,,,,,,,72.38847910000186,None,1,0.4240644999954384,72.38847910000186,None,72.38847910000186,None,t,001,2022-06-21_16h36.22.922,MemoryStudy,2022.1.4,59.9630387806793,
