TrialType,Lag,Image,T1PA,T2PA,PicFolder,Picture,FullPathName,FilePath,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text.started,text.stopped,End_Instructions.keys,End_Instructions.rt,End_Instructions.started,End_Instructions.stopped,MemTest.started,MemTest.stopped,MemResponse.keys,MemResponse.rt,MemResponse.started,MemResponse.stopped,Display.started,Display.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,18.861715499995626,None,space,0.6984239000012167,18.861715499995626,None,,,,,,,,,t,001,2022-06-21_16h32.50.955,MemoryStudy,2022.1.4,59.89562588421694,
Mem,1,squirrel.jpg,P,P,JPG\,squirrel,C:\\Users\\Psychology\\Documents\\ABExperiment\\MemoryStudy\\resources\\JPG\\squirrel.jpg,C:\\Users\\Psychology\\Documents\\ABExperiment\\MemoryStudy\\resources\\JPG\\,0,0,0,5,,,,,,,19.77071289999003,None,1,0.86080480000237,19.77071289999003,None,19.77071289999003,None,t,001,2022-06-21_16h32.50.955,MemoryStudy,2022.1.4,59.89562588421694,
Mem,99,tabascosauce.jpg,Z,Z,JPG\,tabascosauce,C:\\Users\\Psychology\\Documents\\ABExperiment\\MemoryStudy\\resources\\JPG\\tabascosauce.jpg,C:\\Users\\Psychology\\Documents\\ABExperiment\\MemoryStudy\\resources\\JPG\\,0,1,1,556,,,,,,,20.781464499988942,None,1,0.5310854999988806,20.781464499988942,None,20.781464499988942,None,t,001,2022-06-21_16h32.50.955,MemoryStudy,2022.1.4,59.89562588421694,
Mem,99,americanwhitepelican.jpg,Z,Z,JPG\,americanwhitepelican,C:\\Users\\Psychology\\Documents\\ABExperiment\\MemoryStudy\\resources\\JPG\\americanwhitepelican.jpg,C:\\Users\\Psychology\\Documents\\ABExperiment\\MemoryStudy\\resources\\JPG\\,0,2,2,310,,,,,,,21.46050380000088,None,1,0.44417149999935646,21.46050380000088,None,21.46050380000088,None,t,001,2022-06-21_16h32.50.955,MemoryStudy,2022.1.4,59.89562588421694,
Mem,99,broccoli01a.jpg,Z,Z,JPG\,broccoli01a,C:\\Users\\Psychology\\Documents\\ABExperiment\\MemoryStudy\\resources\\JPG\\broccoli01a.jpg,C:\\Users\\Psychology\\Documents\\ABExperiment\\MemoryStudy\\resources\\JPG\\,0,3,3,273,,,,,,,22.0331831999938,None,1,0.4557206000026781,22.0331831999938,None,22.0331831999938,None,t,001,2022-06-21_16h32.50.955,MemoryStudy,2022.1.4,59.89562588421694,
Mem,99,tambourine03.jpg,Z,Z,JPG\,tambourine03,C:\\Users\\Psychology\\Documents\\ABExperiment\\MemoryStudy\\resources\\JPG\\tambourine03.jpg,C:\\Users\\Psychology\\Documents\\ABExperiment\\MemoryStudy\\resources\\JPG\\,0,4,4,298,,,,,,,22.598535899989656,None,1,0.45744070000364445,22.598535899989656,None,22.598535899989656,None,t,001,2022-06-21_16h32.50.955,MemoryStudy,2022.1.4,59.89562588421694,
Mem,99,sunflowerseeds.jpg,Z,Z,JPG\,sunflowerseeds,C:\\Users\\Psychology\\Documents\\ABExperiment\\MemoryStudy\\resources\\JPG\\sunflowerseeds.jpg,C:\\Users\\Psychology\\Documents\\ABExperiment\\MemoryStudy\\resources\\JPG\\,0,5,5,408,,,,,,,23.194409999996424,None,1,0.421527700003935,23.194409999996424,None,23.194409999996424,None,t,001,2022-06-21_16h32.50.955,MemoryStudy,2022.1.4,59.89562588421694,
Mem,5,foldingchair.jpg,P,P,JPG\,foldingchair,C:\\Users\\Psychology\\Documents\\ABExperiment\\MemoryStudy\\resources\\JPG\\foldingchair.jpg,C:\\Users\\Psychology\\Documents\\ABExperiment\\MemoryStudy\\resources\\JPG\\,0,6,6,172,,,,,,,23.71239179999975,None,1,0.5196174000011524,23.71239179999975,None,23.71239179999975,None,t,001,2022-06-21_16h32.50.955,MemoryStudy,2022.1.4,59.89562588421694,
Mem,5,cigar.jpg,P,P,JPG\,cigar,C:\\Users\\Psychology\\Documents\\ABExperiment\\MemoryStudy\\resources\\JPG\\cigar.jpg,C:\\Users\\Psychology\\Documents\\ABExperiment\\MemoryStudy\\resources\\JPG\\,0,7,7,148,,,,,,,24.271707099993364,None,1,0.5606598000013037,24.271707099993364,None,24.271707099993364,None,t,001,2022-06-21_16h32.50.955,MemoryStudy,2022.1.4,59.89562588421694,
Mem,99,fingernail02.jpg,Z,Z,JPG\,fingernail02,C:\\Users\\Psychology\\Documents\\ABExperiment\\MemoryStudy\\resources\\JPG\\fingernail02.jpg,C:\\Users\\Psychology\\Documents\\ABExperiment\\MemoryStudy\\resources\\JPG\\,0,8,8,426,,,,,,,24.939193300000625,None,1,0.45252990000881255,24.939193300000625,None,24.939193300000625,None,t,001,2022-06-21_16h32.50.955,MemoryStudy,2022.1.4,59.89562588421694,
